id,name,artist,album,release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
4b3rGL8LDSkbARUUA20136,VENOM,Stray Kids,ODDINARY,2022-03-18,194840,73,0.812,0.807,9,-3.354,1,0.339,0.11,0.0,0.211,0.4,136.979,4
63irPUP3xB74fHdw1Aw9zR,MANIAC,Stray Kids,ODDINARY,2022-03-18,182757,82,0.581,0.8,1,-2.613,1,0.411,0.154,0.0,0.0697,0.709,119.872,5
4QDpsNBlllaLGj8zbF2EE0,Charmer,Stray Kids,ODDINARY,2022-03-18,188573,74,0.786,0.762,1,-2.508,1,0.0519,0.0524,1.04e-05,0.0971,0.731,90.963,4
2L7hSYdvF0CtaM6JisfKEG,FREEZE,Stray Kids,ODDINARY,2022-03-18,178386,70,0.643,0.868,11,-2.715,0,0.146,0.00674,0.0,0.0691,0.657,159.874,4
2xo84jGkxFPrZmmBtS3Pkd,Lonely St.,Stray Kids,ODDINARY,2022-03-18,164853,68,0.686,0.825,7,-3.192,1,0.0582,0.248,0.0,0.0761,0.603,90.053,4
2LzRBroL4J9pXLf1Nsen4s,"Waiting For Us (Bang Chan, Lee Know, Seungmin, I.N)",Stray Kids,ODDINARY,2022-03-18,219506,66,0.419,0.595,3,-3.925,1,0.0278,0.102,0.0,0.0895,0.347,87.822,4
0oHn3CGVerdfLqIrN6CT42,"Muddy Water (Changbin, Hyunjin, HAN, Felix)",Stray Kids,ODDINARY,2022-03-18,197360,68,0.76,0.871,1,-4.741,1,0.231,0.306,0.0,0.079,0.888,89.989,4
0bqTleRlZBXtueX1fyVlcc,Scars - Korean Ver.,Stray Kids,SKZ2021,2021-12-23,199373,55,0.494,0.693,5,-4.038,1,0.146,0.0719,0.0,0.0899,0.444,159.719,4
3vaCSLh9vDnG75rIbD2l3f,Awaken,Stray Kids,SKZ2021,2021-12-23,193975,55,0.488,0.929,9,-2.606,0,0.292,0.147,0.0,0.397,0.503,164.025,4
6p4pfgTkaktK4sp3ZP7NzA,ROCK,Stray Kids,SKZ2021,2021-12-23,193469,55,0.771,0.848,9,-4.279,0,0.174,0.019,0.000244,0.0458,0.48,141.992,4
26TIfStHIKPlgzr4PkTB0i,3rd Eye,Stray Kids,SKZ2021,2021-12-23,243960,55,0.676,0.727,5,-4.676,0,0.276,0.254,0.0,0.112,0.382,139.844,4
62x6J6Mfom0h7J509dvusH,Placebo,Stray Kids,SKZ2021,2021-12-23,234660,55,0.798,0.809,3,-4.154,1,0.0991,0.0359,0.0,0.0814,0.583,100.024,4
27ONBeTAyqpBJG2Nv01qdf,Insomnia,Stray Kids,SKZ2021,2021-12-23,206430,56,0.639,0.82,11,-3.529,0,0.365,0.212,0.0,0.0823,0.802,167.909,4
4PpMKj0qmas8OncPsDH7F1,Behind The Light,Stray Kids,SKZ2021,2021-12-23,270003,54,0.617,0.527,3,-6.416,1,0.0769,0.457,0.0,0.122,0.508,173.882,4
2yTpNVq1gSpfaW9TNNtqeM,My Side,Stray Kids,SKZ2021,2021-12-23,216788,53,0.564,0.912,5,-4.952,1,0.0898,0.00387,7.77e-06,0.198,0.38,166.003,4
4awANMW1SGfKtN5283lWjN,N/S,Stray Kids,SKZ2021,2021-12-23,224042,59,0.81,0.659,4,-4.882,0,0.0652,0.00209,0.0,0.123,0.369,130.024,4
0V1nMNKvNsPfq3KAQ3wDp6,0325,Stray Kids,SKZ2021,2021-12-23,218442,54,0.52,0.918,9,-3.886,0,0.139,0.00751,0.0,0.319,0.711,170.081,4
3kSuhOJll1HiI05IFJ72SR,For You,Stray Kids,SKZ2021,2021-12-23,249432,53,0.76,0.644,1,-7.13,1,0.041,0.158,0.0,0.282,0.663,114.012,4
4ppuLW4bGqMhRK90XMEzcb,Maze of Memories,Stray Kids,SKZ2021,2021-12-23,175186,56,0.624,0.676,10,-4.588,0,0.237,0.105,0.0,0.101,0.082,129.272,4
5IqYohaBtPHl30pE07RGqO,Broken Compass,Stray Kids,SKZ2021,2021-12-23,221453,54,0.674,0.909,5,-3.395,0,0.19,0.12,0.0,0.107,0.649,98.093,4
1QpB7Lk986qwjOBiZbLSxP,Hoodie Season,Stray Kids,SKZ2021,2021-12-23,234177,56,0.748,0.746,6,-6.754,0,0.0673,0.00976,0.0,0.0645,0.714,89.966,4
7qpSatdWQcRHA3hpedL2u4,CHEESE,Stray Kids,NOEASY,2021-08-23,182080,67,0.376,0.946,2,-2.388,1,0.268,0.0302,0.0,0.147,0.581,89.657,3
0nwTMzpatarzvLvtwwzdCt,Thunderous,Stray Kids,NOEASY,2021-08-23,183266,77,0.601,0.786,1,-3.706,1,0.234,0.213,0.0,0.209,0.79,172.156,4
6Ib6RkvLBMD85bov85apSL,DOMINO,Stray Kids,NOEASY,2021-08-23,198720,69,0.687,0.866,7,-2.01,1,0.0466,0.0301,0.0,0.0755,0.696,160.066,4
238HdxvQkmYeSyo6qkPQoU,SSICK,Stray Kids,NOEASY,2021-08-23,190146,61,0.667,0.829,5,-2.922,0,0.0946,0.0149,0.0,0.428,0.505,170.009,4
5FM1V3qjHroqsXRBbL57rW,The View,Stray Kids,NOEASY,2021-08-23,201746,62,0.758,0.814,1,-4.132,1,0.106,0.0558,0.0,0.138,0.59,110.001,4
5kkOHHTccylnkYxDRgDWMs,"Sorry, I Love You",Stray Kids,NOEASY,2021-08-23,177613,63,0.743,0.661,1,-5.287,1,0.0736,0.362,0.0,0.204,0.602,100.039,4
5kBJH5gU89axZDauhfddpy,Silent Cry,Stray Kids,NOEASY,2021-08-23,209506,66,0.69,0.876,5,-2.503,0,0.091,0.139,0.0,0.281,0.592,104.0,4
1pLJ9T4v4p68otzCDonbc6,Secret Secret,Stray Kids,NOEASY,2021-08-23,209986,61,0.642,0.743,0,-4.649,1,0.0643,0.222,0.0,0.286,0.37,73.969,4
1LSHzXAZXQH9R1zSEFF8Hz,Star Lost,Stray Kids,NOEASY,2021-08-23,215240,60,0.745,0.867,0,-3.056,1,0.0734,0.0734,0.0,0.172,0.575,128.05,4
0LatE4S9UtCDwIdGQsFFKL,"Red Lights (Bang Chan, Hyunjin)",Stray Kids,NOEASY,2021-08-23,189906,72,0.707,0.74,11,-4.311,0,0.0509,0.179,0.0,0.612,0.336,127.974,4
1FdnsU6An1Ye3uBJe8j23c,"Surfin’ (Lee Know, Changbin, Felix)",Stray Kids,NOEASY,2021-08-23,191333,63,0.766,0.758,0,-4.647,1,0.0717,0.0531,0.0,0.253,0.535,104.96,4
